Mouse,Firmicutes,Proteobacteria,Actinobacteria,Bacteroidetes,Other,Source
1,632,1638,569,115,114,Gut
2,136,2469,1590,67,195,Gut
3,1174,839,25,0,42,Gut
4,408,4414,259,85,316,Gut
5,831,12044,568,143,202,Gut
6,693,2310,1102,678,116,Gut
7,718,3053,678,4829,527,Gut
8,173,395,260,74,357,Gut
9,228,2651,424,169,106,Gut
10,162,1195,548,106,67,Gut
11,372,6857,201,73,203,Gut
12,4255,483,42,30,392,Gut
13,107,2950,109,51,28,Gut
14,96,1541,51,2473,12,Gut
15,281,1307,310,102,305,Gut
1,305,3886,648,380,277,Stool
2,4182,1821,4,0,18,Stool
3,703,661,2,0,2,Stool
4,3946,18,300,5,43,Stool
5,8605,83,7,7,40,Stool
6,50,12,9,2,0,Stool
7,717,547,377,209,12,Stool
8,33,2174,58,651,11,Stool
9,80,767,233,254,11,Stool
10,3196,76,21,10,14,Stool
11,32,795,83,381,6,Stool
12,4361,666,75,359,6,Stool
13,1667,3994,59,51,25,Stool
14,223,816,183,2314,22,Stool
15,2377,53,204,33,32,Stool
